fly,split,start_time_s,frames_drawn,rollout_end_error_model_mm,rollout_end_error_physics_mm,onestep_median_model_mm,onestep_median_physics_mm,onestep_win_rate
103,train,1003.58251953125,108,18.909581459832253,6.3803072984070255,0.025008313717500334,0.1172389162008549,0.9345794392523364
104,test,1534.054443359375,108,19.31455469543451,17.741428095966366,0.025447088349809716,0.14669907607233387,0.9813084112149533
105,train,1144.1539306640625,108,19.39995312990558,17.770377028094263,0.024530988282456995,0.10756552328615682,0.9532710280373832
106,train,1586.690185546875,108,21.074229751687433,14.117175357046618,0.026995118867731142,0.14866026665474602,0.9532710280373832
107,test,234.9407958984375,108,14.436450538566122,4.15181888815531,0.018932912492981735,0.088955346385445,0.9439252336448598
108,test,1629.8414306640625,108,19.89838256940347,10.161013822493837,0.020801453302549885,0.12419394662376844,0.9719626168224299
109,train,593.5358276367188,108,19.12205180410693,7.350862056198345,0.027408028459545434,0.14615895849489496,0.9906542056074766
110,train,1109.789306640625,108,17.782680141813476,17.02875388225683,0.021331905867535066,0.11006592844749535,0.9345794392523364
111,train,1689.3712158203125,108,22.749606110866903,15.804103137664224,0.026529427570677812,0.1277992767518079,0.9532710280373832
112,train,1614.641357421875,108,17.15645024875041,10.981592200553804,0.021531332741265972,0.10962473335026188,0.9719626168224299
113,train,1325.7431640625,108,17.50368775036358,11.131044124368637,0.020731906042891962,0.10604139104641201,0.9532710280373832
114,train,1204.5928955078125,108,16.72919432290801,11.661068430549182,0.022328305421529263,0.10885424208809855,0.9158878504672897
115,train,1505.382080078125,108,20.255015411326955,20.595271512669886,0.028570439777258445,0.15247725886897273,0.9906542056074766
116,train,1124.5732421875,108,25.347531951574336,19.811012919001836,0.02567798532885036,0.15305605251339857,1.0
117,test,1768.4735107421875,108,20.321772920228657,12.053316455200951,0.02375299845967651,0.1086692405817378,0.9813084112149533
118,train,1382.2154541015625,108,20.687656838306065,13.532773176003593,0.02539243783570926,0.12714491586793153,0.9532710280373832
119,train,1734.9556884765625,108,19.522763561072995,6.383880344526639,0.020028909223840822,0.09434012065424432,0.9439252336448598
120,test,1203.8758544921875,108,18.586975499917813,15.07071488395708,0.022491026641327266,0.12332603752691272,0.9813084112149533
121,train,1709.805419921875,108,23.348154045100564,16.818693920392043,0.023783136003238434,0.12322744548872243,0.9345794392523364
122,train,2147.648193359375,108,14.447509219817373,5.230102564442991,0.02894155522780988,0.151155640504868,0.9252336448598131
123,train,1371.29150390625,108,18.225747772180533,10.649989062310036,0.021471877908499512,0.09095539901321371,0.897196261682243
124,test,1547.329833984375,108,12.312617426017441,7.117303209871997,0.023218862798962,0.13312629573850726,0.9813084112149533
125,test,2496.159912109375,108,15.93765235527378,14.462425165797375,0.0234829142747915,0.12929202492095582,0.9719626168224299
126,train,1815.2891845703125,108,27.649989429685355,4.739652741630773,0.028760383883332217,0.14140386083177428,0.9813084112149533
127,train,2626.44677734375,108,16.488425702623008,6.532204965103607,0.02741331606464717,0.13832758558957145,0.9532710280373832
128,train,111.65299987792969,108,13.066591381644168,23.579543631643418,0.02446886946262075,0.13839458173390343,0.9813084112149533
129,train,1575.0147705078125,108,17.66505597702207,18.036099565553936,0.028840286735919166,0.13092714401580371,0.9626168224299065
130,train,955.9124755859375,108,12.466263272658086,7.9848607862924155,0.02165204382277194,0.10538007847989588,0.9345794392523364
131,test,653.3704223632812,108,12.694240944922562,4.3797629521099735,0.02483374538299784,0.13552265855991252,0.9813084112149533
132,train,875.8472900390625,108,19.080771374222582,10.889238013558172,0.028063228738364535,0.1464135385145188,0.9813084112149533
133,train,2379.533203125,108,19.25065474062819,24.983210620700675,0.027149235751919683,0.13735702043513748,0.9719626168224299
134,train,1296.545654296875,108,22.803731887243835,16.89109044733319,0.028219759799762666,0.16589363323450096,0.9719626168224299
135,train,1512.6195068359375,108,27.111077451424812,6.619197770293191,0.030453019943132504,0.14989504143283178,0.9532710280373832
